set_num,name,year,theme_id,num_parts,img_url,inventory_id,quantity,id,version,_art_year
41570-1,Skrubz,2016,580,68,https://cdn.rebrickable.com/media/sets/41570-1.jpg,91112.0,3.0,3533,1,2016
4157-1,Freestyle Trial Size,1997,399,36,https://cdn.rebrickable.com/media/sets/4157-1.jpg,,,2398,1,1997
41571-1,Tuth,2016,580,67,https://cdn.rebrickable.com/media/sets/41571-1.jpg,91112.0,3.0,3305,1,2016
41572-1,Gobbol,2016,580,62,https://cdn.rebrickable.com/media/sets/41572-1.jpg,91121.0,4.0,11408,1,2016
41573-1,Sweepz,2016,580,61,https://cdn.rebrickable.com/media/sets/41573-1.jpg,91121.0,4.0,2116,1,2016
41574-1,Compax,2016,580,66,https://cdn.rebrickable.com/media/sets/41574-1.jpg,91121.0,4.0,9312,1,2016
41575-1,Cobrax,2016,580,64,https://cdn.rebrickable.com/media/sets/41575-1.jpg,91121.0,3.0,11992,1,2016
41576-1,Spinza,2016,580,60,https://cdn.rebrickable.com/media/sets/41576-1.jpg,91121.0,3.0,15872,1,2016
41577-1,Mysto,2016,580,64,https://cdn.rebrickable.com/media/sets/41577-1.jpg,91121.0,3.0,10199,1,2016
41578-1,Screeno,2016,580,73,https://cdn.rebrickable.com/media/sets/41578-1.jpg,91121.0,3.0,15360,1,2016
41579-1,Camsta,2016,580,62,https://cdn.rebrickable.com/media/sets/41579-1.jpg,91121.0,3.0,6011,1,2016
41580-1,Myke,2016,580,63,https://cdn.rebrickable.com/media/sets/41580-1.jpg,91121.0,3.0,16100,1,2016
4158-1,Small Freestyle Box,1997,399,132,https://cdn.rebrickable.com/media/sets/4158-1.jpg,,,9723,1,1997
41585-1,Batman,2017,610,91,https://cdn.rebrickable.com/media/sets/41585-1.jpg,,,17064,1,2017
41586-1,Batgirl,2017,610,99,https://cdn.rebrickable.com/media/sets/41586-1.jpg,,,17084,1,2017
41587-1,Robin,2017,610,101,https://cdn.rebrickable.com/media/sets/41587-1.jpg,,,17085,1,2017
41588-1,The Joker,2017,610,151,https://cdn.rebrickable.com/media/sets/41588-1.jpg,,,17086,1,2017
41589-1,Captain America,2017,610,79,https://cdn.rebrickable.com/media/sets/41589-1.jpg,,,17087,1,2017
41590-1,Iron Man,2017,610,96,https://cdn.rebrickable.com/media/sets/41590-1.jpg,,,17071,1,2017
41591-1,Black Widow,2017,610,143,https://cdn.rebrickable.com/media/sets/41591-1.jpg,,,17088,1,2017
41592-1,The Hulk,2017,610,93,https://cdn.rebrickable.com/media/sets/41592-1.jpg,,,17089,1,2017
41593-1,Captain Jack Sparrow,2017,610,109,https://cdn.rebrickable.com/media/sets/41593-1.jpg,,,17675,1,2017
41594-1,Captain Armando Salazar,2017,610,118,https://cdn.rebrickable.com/media/sets/41594-1.jpg,,,17676,1,2017
41595-1,Belle,2017,610,139,https://cdn.rebrickable.com/media/sets/41595-1.jpg,,,17090,1,2017
41596-1,Beast,2017,610,116,https://cdn.rebrickable.com/media/sets/41596-1.jpg,,,17091,1,2017
41597-1,Go Brick Me,2018,610,708,https://cdn.rebrickable.com/media/sets/41597-1.jpg,,,23212,1,2018
41598-1,The Flash,2018,610,122,https://cdn.rebrickable.com/media/sets/41598-1.jpg,,,21190,1,2018
41599-1,Wonder Woman,2018,610,143,https://cdn.rebrickable.com/media/sets/41599-1.jpg,,,21191,1,2018
41600-1,Aquaman,2018,610,135,https://cdn.rebrickable.com/media/sets/41600-1.jpg,,,21192,1,2018
41601-1,Cyborg,2018,610,108,https://cdn.rebrickable.com/media/sets/41601-1.jpg,,,21193,1,2018
41602-1,Rey,2018,610,119,https://cdn.rebrickable.com/media/sets/41602-1.jpg,,,21577,1,2018
41603-1,Kylo Ren,2018,610,130,https://cdn.rebrickable.com/media/sets/41603-1.jpg,,,21578,1,2018
41604-1,Iron Man MK50,2018,610,101,https://cdn.rebrickable.com/media/sets/41604-1.jpg,,,24010,1,2018
41605-1,Thanos,2018,610,105,https://cdn.rebrickable.com/media/sets/41605-1.jpg,,,24013,1,2018
41606-1,Star-Lord,2018,610,113,https://cdn.rebrickable.com/media/sets/41606-1.jpg,36618.0,1.0,24011,1,2018
41607-1,Gamora,2018,610,136,https://cdn.rebrickable.com/media/sets/41607-1.jpg,36618.0,1.0,24012,1,2018
41608-1,Han Solo,2018,610,141,https://cdn.rebrickable.com/media/sets/41608-1.jpg,73585.0,1.0,23843,1,2018
41609-1,Chewbacca,2018,610,149,https://cdn.rebrickable.com/media/sets/41609-1.jpg,73585.0,1.0,23844,1,2018
416-1,4 Sixteens 2 Twenties (The Building Toy),1966,371,6,https://cdn.rebrickable.com/media/sets/416-1.jpg,,,8475,1,1966
41610-1,Tactical Batman & Superman,2018,610,209,https://cdn.rebrickable.com/media/sets/41610-1.jpg,,,24293,1,2018
4161-1,Girl's Freestyle Suitcase,1995,399,294,https://cdn.rebrickable.com/media/sets/4161-1.jpg,,,6008,1,1995
