year,state,county_name,urbanicity,region,division,pop_category,population,pretrial_population,_art_year
1986,CA,Del Norte County,rural,West,Pacific,Total,12294.0,11.4,1986
1991,KY,McCracken County,rural,South,East South Central,Female,20918.0,11.0,1991
1985,AL,Chilton County,suburban,South,East South Central,Male,9942.0,3.0,1985
2007,IA,Hancock County,rural,Midwest,West North Central,Black,25.0,,2007
2003,VA,Williamsburg city,suburban,South,South Atlantic,Male,4256.0,15.15858,2003
1979,OH,Huron County,rural,Midwest,East North Central,Latino,,,1979
1988,MI,Delta County,rural,Midwest,East North Central,Native American,,,1988
1970,TX,Lamb County,rural,South,West South Central,Asian,,,1970
2010,IL,LaSalle County,rural,Midwest,East North Central,Other,,,2010
2016,CO,Park County,suburban,West,Mountain,Male,6035.0,,2016
1989,VA,Wythe County,rural,South,South Atlantic,Black,551.0,,1989
1975,LA,Tangipahoa Parish,small/mid,South,West South Central,Total,44143.0,43.25,1975
2003,OK,Carter County,rural,South,West South Central,Native American,2725.0,,2003
1987,VA,King George County,rural,South,South Atlantic,Asian,,,1987
1987,MT,Cascade County,small/mid,West,Mountain,Latino,,,1987
1997,TN,Wilson County,suburban,South,East South Central,Other,,,1997
2016,IA,Cherokee County,rural,Midwest,West North Central,Male,3562.0,,2016
2004,IN,Allen County,small/mid,Midwest,East North Central,Total,224455.0,409.0,2004
1974,AR,Nevada County,rural,South,West South Central,Total,6009.0,0.0,1974
2011,IL,Boone County,small/mid,Midwest,East North Central,Asian,490.0,,2011
1970,LA,Ouachita Parish,small/mid,South,West South Central,White,53367.0,,1970
2012,MO,Cape Girardeau County,small/mid,Midwest,West North Central,Male,25334.0,1.0,2012
1984,VA,Richmond County,rural,South,South Atlantic,Male,2180.0,0.0,1984
1979,TX,San Jacinto County,rural,South,West South Central,Asian,,,1979
1987,MT,Golden Valley County,small/mid,West,Mountain,Male,305.0,0.0,1987
1985,MT,Teton County,rural,West,Mountain,Female,1865.0,0.0,1985
2005,NM,Harding County,rural,West,Mountain,Other,,,2005
1996,NE,Richardson County,rural,Midwest,West North Central,Native American,111.0,,1996
1981,MN,Martin County,rural,Midwest,West North Central,White,15064.0,,1981
2001,MI,Calhoun County,small/mid,Midwest,East North Central,Female,45321.0,40.0,2001
1993,AR,Mississippi County,rural,South,West South Central,Latino,422.0,,1993
1972,FL,Taylor County,rural,South,South Atlantic,Latino,,,1972
1984,AL,Crenshaw County,rural,South,East South Central,White,6265.0,,1984
2000,TX,Donley County,rural,South,West South Central,Asian,4.0,,2000
2007,OH,Highland County,rural,Midwest,East North Central,Black,462.0,,2007
2012,PA,Somerset County,rural,Northeast,Middle Atlantic,White,48007.0,,2012
1978,MD,Kent County,rural,South,South Atlantic,Female,5592.0,0.0,1978
1988,PA,Lycoming County,small/mid,Northeast,Middle Atlantic,Other,403.0,,1988
2014,KY,Christian County,small/mid,South,East South Central,Black,10449.0,,2014
1993,NC,Washington County,rural,South,South Atlantic,Latino,39.0,,1993
1979,NM,Santa Fe County,small/mid,West,Mountain,Total,50126.0,20.0,1979
1996,SD,Lincoln County,small/mid,Midwest,West North Central,Native American,47.0,,1996
1999,CO,El Paso County,small/mid,West,Mountain,Black,23515.0,,1999
1990,KS,McPherson County,rural,Midwest,West North Central,Other,,,1990
2005,GA,Schley County,rural,South,South Atlantic,Native American,2.0,,2005
2012,OH,Columbiana County,rural,Midwest,East North Central,Latino,1004.0,,2012
2015,TX,Polk County,rural,South,West South Central,Other,,,2015
1997,FL,Brevard County,small/mid,South,South Atlantic,Other,,,1997
1992,KY,Powell County,rural,South,East South Central,Other,,,1992
2008,AR,Franklin County,rural,South,West South Central,Male,5861.0,22.0,2008
2014,GA,McIntosh County,small/mid,South,South Atlantic,White,5416.0,,2014
1984,OH,Summit County,small/mid,Midwest,East North Central,Black,36244.0,,1984
1981,NE,Saunders County,small/mid,Midwest,West North Central,Latino,,,1981
2014,IN,Madison County,suburban,Midwest,East North Central,Other,,,2014
1975,GA,Atkinson County,rural,South,South Atlantic,White,2626.0,,1975
1987,NY,Dutchess County,suburban,Northeast,Middle Atlantic,Asian,,,1987
1991,MN,Washington County,suburban,Midwest,West North Central,Asian,1070.0,,1991
1991,NC,Orange County,small/mid,South,South Atlantic,Male,34160.0,54.8,1991
2008,GA,Bleckley County,rural,South,South Atlantic,Asian,87.0,,2008
1980,ND,Benson County,rural,Midwest,West North Central,White,3271.0,,1980
1990,KY,Wayne County,rural,South,East South Central,Asian,1.0,,1990
2002,CO,Pueblo County,small/mid,West,Mountain,Native American,815.0,,2002
1983,CA,San Luis Obispo County,small/mid,West,Pacific,Latino,,,1983
1978,KY,Bath County,rural,South,East South Central,Black,194.0,,1978
1978,LA,Caldwell Parish,rural,South,West South Central,Other,5.0,,1978
1970,IN,Howard County,small/mid,Midwest,East North Central,Asian,,,1970
1996,IN,Johnson County,suburban,Midwest,East North Central,Asian,567.0,,1996
1993,OH,Fulton County,small/mid,Midwest,East North Central,Other,,,1993
1989,NC,Montgomery County,rural,South,South Atlantic,Latino,,,1989
2007,MN,Mahnomen County,rural,Midwest,West North Central,Asian,3.0,,2007
1984,GA,Gwinnett County,suburban,South,South Atlantic,Female,81072.0,0.0,1984
2005,FL,Martin County,small/mid,South,South Atlantic,Male,42064.0,319.0,2005
1983,CO,Montezuma County,rural,West,Mountain,Total,11715.0,10.0,1983
1983,SD,Campbell County,rural,Midwest,West North Central,Male,694.0,0.4558124,1983
2002,IA,Jasper County,rural,Midwest,West North Central,Black,317.0,,2002
1990,TX,Archer County,small/mid,South,West South Central,Other,,,1990
2002,KY,Clay County,rural,South,East South Central,Asian,24.0,,2002
1970,GA,Decatur County,rural,South,South Atlantic,Native American,,,1970
2008,NJ,Mercer County,small/mid,Northeast,Middle Atlantic,White,140978.0,,2008
1976,WA,King County,urban,West,Pacific,Female,398050.0,40.25,1976
1986,AL,Barbour County,rural,South,East South Central,Asian,,,1986
2000,IN,Allen County,small/mid,Midwest,East North Central,Black,24478.0,,2000
2002,OK,Dewey County,rural,South,West South Central,Native American,154.0,,2002
2008,IA,Keokuk County,rural,Midwest,West North Central,Total,6548.0,3.714286,2008
1985,NY,Cortland County,rural,Northeast,Middle Atlantic,Latino,,,1985
2002,TX,Cottle County,rural,South,West South Central,Other,,,2002
1980,TX,Glasscock County,rural,South,West South Central,Native American,,,1980
1991,AL,Houston County,small/mid,South,East South Central,Latino,294.0,,1991
1975,TN,Lawrence County,rural,South,East South Central,Male,9732.0,0.0,1975
1974,CO,Montezuma County,rural,West,Mountain,White,7904.0,,1974
2010,AL,Perry County,rural,South,East South Central,Latino,79.0,,2010
1984,TN,Hancock County,rural,South,East South Central,White,4307.0,,1984
2000,CO,Eagle County,rural,West,Mountain,Male,18007.0,23.0,2000
1979,IL,Adams County,rural,Midwest,East North Central,Latino,,,1979
1971,IA,Dubuque County,small/mid,Midwest,West North Central,Latino,,,1971
1977,OR,Baker County,rural,West,Pacific,Asian,,,1977
2012,TX,Bandera County,suburban,South,West South Central,Female,6627.0,2.0,2012
2007,IA,Union County,rural,Midwest,West North Central,Male,3904.0,7.0,2007
1994,IL,McHenry County,suburban,Midwest,East North Central,Total,144511.0,73.0,1994
1985,OH,Darke County,rural,Midwest,East North Central,White,33206.0,,1985
2000,NC,Currituck County,suburban,South,South Atlantic,Asian,70.0,,2000
1980,MI,Osceola County,rural,Midwest,East North Central,Other,69.0,,1980
1970,ND,Eddy County,rural,Midwest,West North Central,Black,1.0,,1970
2016,KS,McPherson County,rural,Midwest,West North Central,Other,,,2016
1993,TX,Hill County,rural,South,West South Central,Native American,49.0,,1993
1990,NC,Transylvania County,rural,South,South Atlantic,Other,,,1990
1972,TX,Knox County,rural,South,West South Central,Native American,,,1972
2006,AK,Haines Borough,rural,West,Pacific,Asian,11.0,,2006
1987,SD,Edmunds County,rural,Midwest,West North Central,White,2653.0,,1987
1977,TX,Crockett County,rural,South,West South Central,Asian,,,1977
1995,ID,Gem County,small/mid,West,Mountain,Female,4126.0,0.0,1995
1981,WV,Grant County,rural,South,South Atlantic,Other,11.0,,1981
1989,MI,Grand Traverse County,rural,Midwest,East North Central,Asian,,,1989
1988,CA,Napa County,small/mid,West,Pacific,Other,2977.0,,1988
2015,WI,Walworth County,rural,Midwest,West North Central,Female,34030.0,13.0,2015
1984,CO,Rio Grande County,rural,West,Mountain,Total,6776.0,4.62147,1984
1994,UT,Iron County,rural,West,Middle Atlantic,Total,16319.0,13.14286,1994
2005,CT,New London County,small/mid,Northeast,New England,Other,,,2005
2015,MO,St. Francois County,rural,Midwest,West North Central,Native American,199.0,,2015
1994,IN,Greene County,rural,Midwest,East North Central,Total,20531.0,16.0,1994
1991,IN,Clark County,suburban,Midwest,East North Central,Male,28772.0,72.0,1991
1983,MO,Marion County,rural,Midwest,West North Central,White,16535.0,,1983
2011,TN,Williamson County,suburban,South,East South Central,Native American,261.0,,2011
1992,NJ,Mercer County,small/mid,Northeast,Middle Atlantic,Latino,15363.0,,1992
1987,TX,Glasscock County,rural,South,West South Central,Female,411.0,0.0,1987
2013,WI,Barron County,rural,Midwest,West North Central,Latino,591.0,,2013
1980,OH,Logan County,rural,Midwest,East North Central,Asian,,,1980
1979,ID,Adams County,rural,West,Mountain,Male,1077.0,0.0,1979
1997,CA,Merced County,small/mid,West,Pacific,White,55950.0,,1997
1993,MS,Monroe County,rural,South,East South Central,Male,11109.0,26.0,1993
2005,IL,Woodford County,small/mid,Midwest,East North Central,Native American,43.0,,2005
1993,MN,Lake County,rural,Midwest,West North Central,White,6498.0,,1993
1981,OK,Alfalfa County,rural,South,West South Central,Other,48.0,,1981
1994,VA,Virginia Beach city,urban,South,South Atlantic,Asian,13861.0,,1994
2014,FL,Citrus County,small/mid,South,South Atlantic,Asian,1325.0,,2014
1978,TN,Unicoi County,small/mid,South,East South Central,Total,10523.0,2.0,1978
2001,KY,Nelson County,rural,South,East South Central,Latino,268.0,,2001
1989,OH,Miami County,small/mid,Midwest,East North Central,Native American,,,1989
1984,CT,New London County,small/mid,Northeast,New England,White,161610.0,,1984
1987,MN,Morrison County,rural,Midwest,West North Central,Native American,,,1987
1975,SC,Spartanburg County,small/mid,South,South Atlantic,Male,59921.0,61.0,1975
1982,NC,Wayne County,small/mid,South,South Atlantic,White,45801.0,,1982
2014,OK,Wagoner County,small/mid,South,West South Central,Black,2077.0,,2014
1990,TX,Young County,rural,South,West South Central,Total,10609.0,23.2,1990
1985,MO,Cooper County,rural,Midwest,West North Central,White,8385.0,,1985
1977,TX,Delta County,rural,South,West South Central,Male,1248.0,0.0,1977
2010,AR,Cross County,rural,South,West South Central,Male,5612.0,0.0,2010
2006,ID,Franklin County,small/mid,West,Mountain,Native American,20.0,,2006
2007,VT,Essex County,rural,Northeast,New England,Total,4224.0,,2007
1975,CA,Nevada County,rural,West,Pacific,Black,40.0,,1975
1997,AR,Hempstead County,rural,South,West South Central,Native American,48.0,,1997
2006,KY,Breckinridge County,rural,South,East South Central,Latino,87.0,,2006
2005,IA,Monona County,rural,Midwest,West North Central,Black,15.0,,2005
1980,MA,Bristol County,suburban,Northeast,New England,Latino,,,1980
1997,VA,Prince George County,suburban,South,South Atlantic,Latino,1003.0,,1997
2009,MI,Hillsdale County,rural,Midwest,East North Central,Total,30473.0,32.5,2009
2008,SD,Codington County,rural,Midwest,West North Central,Female,8574.0,2.701218,2008
2011,WI,Buffalo County,rural,Midwest,West North Central,White,8425.0,,2011
1998,LA,Livingston Parish,small/mid,South,West South Central,Native American,227.0,,1998
2016,NC,Burke County,small/mid,South,South Atlantic,Asian,2439.0,,2016
1989,TN,Lewis County,rural,South,East South Central,White,5684.0,,1989
2014,GA,Ben Hill County,rural,South,South Atlantic,Female,5625.0,0.0,2014
2004,ND,Bottineau County,rural,Midwest,West North Central,Asian,9.0,,2004
1995,MN,Koochiching County,rural,Midwest,West North Central,Black,11.0,,1995
2004,TN,Macon County,suburban,South,East South Central,Black,32.0,,2004
1973,TX,Grayson County,small/mid,South,West South Central,White,42907.0,,1973
1988,ID,Oneida County,rural,West,Mountain,Male,909.0,0.0,1988
1971,MO,Boone County,small/mid,Midwest,West North Central,Female,29811.0,2.875,1971
2012,ID,Bingham County,rural,West,Mountain,Female,13889.0,17.0,2012
1976,MA,Barnstable County,small/mid,Northeast,New England,Other,734.0,,1976
1979,WV,Barbour County,rural,South,South Atlantic,Other,29.0,,1979
2015,IN,Ripley County,rural,Midwest,East North Central,Total,18036.0,57.0,2015
1985,MN,Benton County,small/mid,Midwest,West North Central,Male,8447.0,0.0,1985
1997,IA,Audubon County,rural,Midwest,West North Central,Asian,0.0,,1997
1991,TX,Roberts County,rural,South,West South Central,Female,321.0,0.2253768,1991
1982,AK,Anchorage Municipality,small/mid,West,Pacific,Total,140961.0,,1982
1991,AK,Haines Borough,rural,West,Pacific,White,1352.0,,1991
1997,MO,Chariton County,rural,Midwest,West North Central,Female,2563.0,5.272727,1997
1986,TN,Polk County,small/mid,South,East South Central,Black,1.0,,1986
1976,OK,Le Flore County,small/mid,South,West South Central,Other,1388.0,,1976
1994,ND,Bowman County,rural,Midwest,West North Central,White,1892.0,,1994
2008,LA,Orleans Parish,urban,South,West South Central,Total,214070.0,1967.0,2008
1979,MI,Ottawa County,suburban,Midwest,East North Central,Other,620.0,,1979
1972,TX,Wharton County,rural,South,West South Central,Latino,,,1972
1987,FL,Liberty County,rural,South,South Atlantic,Latino,,,1987
1997,IL,Mason County,rural,Midwest,East North Central,White,10058.0,,1997
2011,OK,Jackson County,rural,South,West South Central,Other,,,2011
1993,MN,Dodge County,small/mid,Midwest,West North Central,Female,4963.0,0.0,1993
2011,KS,Dickinson County,rural,Midwest,West North Central,Total,12202.0,12.0,2011
1974,IA,Boone County,rural,Midwest,West North Central,Black,32.0,,1974
1990,KS,Jackson County,small/mid,Midwest,West North Central,Native American,381.0,,1990
1973,IN,Madison County,suburban,Midwest,East North Central,Other,185.0,,1973
1981,NC,Catawba County,small/mid,South,South Atlantic,Total,71849.0,34.6,1981
1979,MO,Perry County,rural,Midwest,West North Central,White,9851.0,,1979
1974,GA,Rockdale County,suburban,South,South Atlantic,White,14887.0,,1974
1982,IL,Clay County,rural,Midwest,East North Central,Black,0.0,,1982
2013,PA,Lebanon County,small/mid,Northeast,Middle Atlantic,Asian,1223.0,,2013
1979,TN,Davidson County,urban,South,East South Central,Black,67128.0,,1979
1988,NE,Greeley County,rural,Midwest,West North Central,Native American,,,1988
1981,TN,Fayette County,suburban,South,East South Central,Asian,,,1981
2014,TX,Hood County,suburban,South,West South Central,Latino,3735.0,,2014
1981,ID,Shoshone County,rural,West,Mountain,Asian,,,1981
1989,TX,Bandera County,suburban,South,West South Central,Black,17.0,,1989
1975,AR,Union County,rural,South,West South Central,Other,72.0,,1975
1976,SD,Roberts County,rural,Midwest,West North Central,Latino,,,1976
2002,MS,Yalobusha County,rural,South,East South Central,Latino,77.0,,2002
1986,TX,Loving County,rural,South,West South Central,Latino,,,1986
1986,OH,Darke County,rural,Midwest,East North Central,Asian,,,1986
2009,NC,Sampson County,rural,South,South Atlantic,Latino,6413.0,,2009
1974,GA,Bleckley County,rural,South,South Atlantic,Latino,,,1974
1992,KS,Sherman County,rural,Midwest,West North Central,Black,10.0,,1992
2011,MS,Greene County,rural,South,East South Central,Asian,15.0,,2011
2001,CO,Kiowa County,rural,West,Mountain,Total,964.0,1.659547,2001
1974,IN,Vermillion County,small/mid,Midwest,East North Central,Male,5119.0,6.777778,1974
1975,GA,Worth County,small/mid,South,South Atlantic,Other,17.0,,1975
2006,WA,Benton County,small/mid,West,Pacific,Total,105882.0,322.0,2006
2007,NV,Douglas County,rural,West,Mountain,Latino,3019.0,,2007
1977,NC,Harnett County,rural,South,South Atlantic,Other,397.0,,1977
1991,OK,Kingfisher County,rural,South,West South Central,Female,3881.0,1.0,1991
2015,MD,Charles County,suburban,South,South Atlantic,White,48023.0,,2015
1981,TX,Orange County,small/mid,South,West South Central,Other,441.0,,1981
2007,VA,Surry County,rural,South,South Atlantic,Black,2249.0,,2007
2004,GA,Glascock County,rural,South,South Atlantic,Black,161.0,,2004
1974,IN,Vanderburgh County,small/mid,Midwest,East North Central,Native American,,,1974
1988,OK,Ellis County,rural,South,West South Central,Black,2.0,,1988
2013,NY,Cayuga County,rural,Northeast,Middle Atlantic,Latino,1421.0,,2013
2015,KS,Shawnee County,small/mid,Midwest,West North Central,Female,58227.0,22.0,2015
2014,OR,Josephine County,small/mid,West,Pacific,Native American,798.0,,2014
1977,MS,Holmes County,rural,South,East South Central,Asian,,,1977
1970,TX,Lubbock County,small/mid,South,West South Central,Other,472.0,,1970
